fullId,dataset,source (if applicable),name,text,relevant_receptacle,thumbnail_number
Threshold_Bead_Cereal_Bowl_White,googleobjs,,cereal bowl,cereal bowl,kitchen_cabinet,
6cfd8bf7950369dce56880769ad5f3d8,shapenetsem,,cheese,cheese,fridge,
chicken_broth,amazon,https://a.co/d/3OzW5vY,chicken broth,chicken broth,fridge,
7214146214653e4ae06fb3e32a913ea,shapenetsem,,china plate,china plate,shelving_unit,6
chocolate_syrup,amazon,https://a.co/d/aaTSCXS,chocolate syrup,chocolate syrup,fridge,
159e56c18906830278d8f8c02c47cde0,shapenetsem,,coffee mug,coffee mug,kitchen_cabinet,
cotton_swabs,amazon,https://a.co/d/eC1jAkf,cotton swabs,cotton swabs,bathroom_cabinet; chest_of_drawers,
9781534b6fd326022ad6fa7bd98ef600,shapenetsem,,decor item,flower bouquet,shelving_unit,8
aaa87a2a3a5b8ab4a156590b19c3013b,shapenetsem,,decorative vase,decor vase,shelving_unit,6
dental_floss,amazon,https://a.co/d/cUVGDu9,dental floss,dental floss,bathroom_cabinet,
50435b793ba44d3ae862880da7e848f,shapenetsem,,deodorant,deodorant,chest_of_drawers; bathroom_cabinet,
electric_trimmer,amazon,https://a.co/d/glQHOWa,electric trimmer,beard trimmer,bathroom_cabinet,
436e1ae9112384fbf4cc5d95933e54b,shapenetsem,,frying pan,frying pan,kitchen_cabinet,
glass_cleaner,amazon,https://a.co/d/igHz8J2,glass cleaner,glass cleaner,bathroom_cabinet,
975524c93e34a588ba7ec626e1762ecf,shapenetsem,,hair brush,hair brush,chest_of_drawers; bathroom_cabinet,
Remington_TStudio_Hair_Dryer,googleobjs,,hair dryer,hair dryer,chest_of_drawers; bathroom_cabinet,
77b01809c4715c9635061fa405f73f6,shapenetsem,,hair straightener,hair straightener,chest_of_drawers; bathroom_cabinet,
DPC_Handmade_Hat_Brown,googleobjs,,hat,hat,chest_of_drawers,
heavy_cream,amazon,https://a.co/d/6GW4LYC,heavy cream,heavy cream,fridge,
b455ebfd4eeaa611a3f10d612f39bb6,shapenetsem,,ketchup bottle,ketchup bottle,kitchen_cabinet; fridge,
lamp,amazon,https://a.co/d/ccIhN6c,lamp,lamp,shelving_unit; chest_of_drawers,
Focus_8643_Lime_Squeezer_10x35x188_Enamelled_Aluminum_Light,googleobjs,,lime squeezer,lime squeezer,kitchen_cabinet,
bd0cfe9c847a7f9e43606943cd3aae81,shapenetsem,,lipstick,lipstick,chest_of_drawers,
a6ce8190ac564791848832df241f43b8,shapenetsem,,loaf of bread,bread,kitchen_cabinet,
magazine,amazon,https://a.co/d/eCAzt5C,magazine,magazine,shelving_unit,
114f65a1635af7f862237730c52678c5,shapenetsem,,milk carton,milk carton,fridge,
10f6e09036350e92b3f21f1137c3c347,shapenetsem,,mug,mug,kitchen_cabinet,
f371bc396c479b7b80360680c1602c7d,shapenetsem,,nail polish bottle,nail polish,chest_of_drawers,
necklace,amazon,https://a.co/d/8XBVazy,necklace,necklace,chest_of_drawers,
724488d30d3495145c604da6952146db,shapenetsem,,orange juice,orange juice,fridge,11
peanut_butter,amazon,https://a.co/d/7W6iEJ6,peanut butter,peanut butter,kitchen_cabinet,
84afacef6e1bb845fc5a6a6856432614,shapenetsem,,photo frame,photo frame,shelving_unit; chest_of_drawers,6
11a0f60b9baaaf59968608843530f3d7,shapenetsem,,pill bottle,pill bottle,bathroom_cabinet,
plant,amazon,https://a.co/d/aaqmJVu,plant,plant,shelving_unit,
9c673c96041cdf9cb62b7829161c6630,shapenetsem,,purse/handbag,purse,chest_of_drawers,
4202a6d62a6ac3df998225687dd5f056Razor,shapenetsem,,razor,razor,bathroom_cabinet,7
Clorox_Premium_Choice_Gloves_SM_1_pair,googleobjs,,rubber gloves,rubber gloves,bathroom_cabinet,
sanitizing_wipes,amazon,https://a.co/d/74yZBju,sanitizing wipes,sanitizing wipes,bathroom_cabinet,
1257976df3606918e6151088c69a31b2,shapenetsem,,saucepan with lid,saucepan,kitchen_cabinet,
scrub_brush,amazon,https://a.co/d/08aaFwl,scrub brush,scrub brush,bathroom_cabinet,
Threshold_Tray_Rectangle_Porcelain,googleobjs,,serving tray,serving tray,kitchen_cabinet,
f919431276935ea05d8eba92952b9366,shapenetsem,,shampoo bottle,shampoo,bathroom_cabinet,
OXO_Cookie_Spatula,googleobjs,,silicone spatula,silicone spatula,kitchen_cabinet,
soap_dispenser,amazon,https://a.co/d/iH775Mz,soap dispenser,soap dispenser,bathroom_cabinet,
sour_cream,amazon,https://a.co/d/fRvuMhR,sour cream,sour cream,fridge,
b1d75ad18d986ec760005b40a079e2d3,shapenetsem,,soy sauce,soy sauce,fridge,
c9f39a1fbb52909d95dd7012ef2212fd,shapenetsem,,spectacles,spectacles,chest_of_drawers,12
1291c573a61eddce6645417f261885f4,shapenetsem,,statue,statue,shelving_unit,13
strawberry_jam,amazon,https://a.co/d/3OrwsJo,strawberry jam,strawberry jam,fridge,
2ed76efe98e1d6a8e4670226b51cdc8,shapenetsem,,sunglasses,sunglasses,chest_of_drawers,
20047e41f5129e9d13b545a1b395c76f,shapenetsem,,t-shirt,t-shirt,chest_of_drawers,3
13961f08fe5b4c549ef60e9225cbea3a,shapenetsem,,tea pot,tea pot,kitchen_cabinet,
13a913b33fb29f7741f9f28bc4fa9522,shapenetsem,,tissue box,tissue box,bathroom_cabinet; chest_of_drawers; shelving_unit,
6f97a8c3a5f076665d73afbd7c310e93,shapenetsem,,toilet paper roll,toilet paper,bathroom_cabinet,
2a797cfcb6da9f931ff8c8d92d41d56f,shapenetsem,,toothbrush,toothbrush,bathroom_cabinet,
3d77cfc36b46503953903947b779d38b,shapenetsem,,toothpaste,toothpaste,bathroom_cabinet,
tortillas,amazon,https://a.co/d/543Q8MP,tortillas,tortillas,fridge; kitchen_cabinet,
3337ce80764a15b9162cb7009da70820,shapenetsem,,towel,towel,chest_of_drawers; bathroom_cabinet,
vanity_mirror,amazon,https://a.co/d/aTNCiCs,vanity mirror,vanity mirror,chest_of_drawers; bathroom_cabinet,
9f34cb4a30723bda7bf41c709bc6a298,shapenetsem,,vase with flowers,flower vase,shelving_unit,
vintage_radio,amazon,https://a.co/d/fFHqNry,vintage radio,radio,shelving_unit,
52431cf438b7a1c5606b049766a67fa3,shapenetsem,,wallet,wallet,chest_of_drawers,
3a5351666689a7b2b788559e93c74a0f,shapenetsem,,watch,watch,chest_of_drawers,
e679ad6179be41ccb444b3a14f91a38c,shapenetsem,,wine glass,wine glass,kitchen_cabinet,
